episode,reward,sim_reward,epsilon,buffer,loss,steps,collisions,checkpoints,laps,truncated,race_finished,best_score,global_step
90,28.204632,28.204597,0.050000,100000,0.012978,2000,0,5,1,1,0,276.006081,180000
91,-30.681163,-30.681524,0.050000,100000,0.014268,2000,0,7,1,1,0,276.006081,182000
92,78.219788,78.220421,0.050000,100000,0.014059,2000,0,12,2,1,0,276.006081,184000
93,-83.570579,-83.570625,0.050000,100000,0.014182,2000,0,5,1,1,0,276.006081,186000
94,-79.030091,-79.030182,0.050000,100000,0.016304,2000,0,5,1,1,0,276.006081,188000
95,-6.826583,-6.826740,0.050000,100000,0.014161,2000,0,3,1,1,0,276.006081,190000
96,-120.977420,-120.977127,0.050000,100000,0.014022,2000,0,2,1,1,0,276.006081,192000
97,75.783209,75.783562,0.050000,100000,0.013761,2000,0,12,2,1,0,276.006081,194000
98,-3.650850,-3.650950,0.050000,100000,0.012747,2000,0,3,1,1,0,276.006081,196000
99,-69.047792,-69.048050,0.050000,100000,0.013292,2000,0,5,1,1,0,276.006081,198000
100,-405.550565,-405.542725,0.050000,100000,0.014658,2000,269,5,1,1,0,276.006081,200000
101,19.478363,19.478174,0.050000,100000,0.013580,2000,0,5,1,1,0,276.006081,202000
102,24.356296,24.356319,0.050000,100000,0.013137,2000,0,9,2,1,0,276.006081,204000
103,16.859183,16.858988,0.050000,100000,0.011895,2000,0,5,1,1,0,276.006081,206000
104,97.268677,97.268654,0.050000,100000,0.012680,2000,0,12,2,1,0,276.006081,208000
105,-86.760817,-86.760834,0.050000,100000,0.010395,2000,1,5,1,1,0,276.006081,210000
106,56.378054,56.378048,0.050000,100000,0.012600,2000,0,10,2,1,0,276.006081,212000
107,51.645403,51.645451,0.050000,100000,0.011855,2000,0,7,1,1,0,276.006081,214000
108,114.494868,114.494827,0.050000,100000,0.011434,2000,0,13,2,1,0,279.494827,216000
109,-120.432659,-120.432091,0.050000,100000,0.011837,2000,0,2,1,1,0,279.494827,218000
110,-20.452499,-20.452681,0.050000,100000,0.012083,2000,0,7,1,1,0,279.494827,220000
111,-9.791737,-9.792060,0.050000,100000,0.011735,2000,0,8,2,1,0,279.494827,222000
112,116.116213,116.116318,0.050000,100000,0.012033,2000,0,14,2,1,0,286.116318,224000
113,130.758948,130.758972,0.050000,100000,0.013673,2000,0,15,3,1,0,355.758972,226000
114,115.203511,115.203590,0.050000,100000,0.013278,2000,0,13,2,1,0,355.758972,228000
115,122.147966,122.148140,0.050000,100000,0.012216,2000,0,14,2,1,0,355.758972,230000
116,154.695576,154.695541,0.050000,100000,0.012073,2000,0,17,3,1,0,389.695541,232000
117,148.823488,148.823608,0.050000,100000,0.012896,2000,0,17,3,1,0,389.695541,234000
118,102.269507,102.269447,0.050000,100000,0.012213,2000,0,12,2,1,0,389.695541,236000
119,155.556861,155.556885,0.050000,100000,0.013459,2000,0,18,3,1,0,395.556885,238000
120,136.912918,136.912842,0.050000,100000,0.012177,2000,0,15,3,1,0,395.556885,240000
121,152.634671,152.634628,0.050000,100000,0.011662,2000,0,17,3,1,0,395.556885,242000
122,154.423524,154.423508,0.050000,100000,0.011511,2000,0,17,3,1,0,395.556885,244000
123,157.451696,157.451675,0.050000,100000,0.011898,2000,0,18,3,1,0,397.451675,246000
