episode,reward,sim_reward,epsilon,buffer,loss,steps,collisions,checkpoints,laps,truncated,race_finished,best_score,global_step
126,-85.856388,-85.856247,0.050000,100000,0.034454,2000,0,3,1,1,0,138.755325,252000
127,-70.282653,-70.283035,0.050000,100000,0.034399,2000,0,3,1,1,0,138.755325,254000
128,-7.385520,-7.385564,0.050000,100000,0.035013,2000,0,4,1,1,0,138.755325,256000
129,-24.738533,-24.738600,0.050000,100000,0.031004,2000,0,3,1,1,0,138.755325,258000
130,22.425282,22.425289,0.050000,100000,0.033000,2000,0,3,1,1,0,138.755325,260000
131,-32.179077,-32.179337,0.050000,100000,0.033692,2000,0,1,1,1,0,138.755325,262000
132,-32.096633,-32.096916,0.050000,100000,0.032090,2000,0,1,1,1,0,138.755325,264000
133,1.748622,1.748605,0.050000,100000,0.034317,2000,0,2,1,1,0,138.755325,266000
134,-95.269179,-95.269081,0.050000,100000,0.033464,2000,0,1,1,1,0,138.755325,268000
135,-113.751209,-113.750175,0.050000,100000,0.034373,2000,0,1,1,1,0,138.755325,270000
136,-27.795483,-27.795654,0.050000,100000,0.033416,2000,0,1,1,1,0,138.755325,272000
137,4.975638,4.975622,0.050000,100000,0.031897,2000,0,2,1,1,0,138.755325,274000
138,-65.378180,-65.378220,0.050000,100000,0.031067,2000,0,1,1,1,0,138.755325,276000
139,-67.479427,-67.479561,0.050000,100000,0.034668,2000,0,1,1,1,0,138.755325,278000
140,1.340505,1.340476,0.050000,100000,0.034920,2000,0,2,1,1,0,138.755325,280000
141,-9.908590,-9.908620,0.050000,100000,0.031011,2000,0,1,1,1,0,138.755325,282000
142,-30.032885,-30.032995,0.050000,100000,0.031350,2000,0,0,0,1,0,138.755325,284000
143,-28.726680,-28.726721,0.050000,100000,0.027343,2000,0,0,0,1,0,138.755325,286000
144,-22.528764,-22.528893,0.050000,100000,0.031790,2000,0,1,1,1,0,138.755325,288000
145,-0.822730,-0.822812,0.050000,100000,0.029829,2000,0,2,1,1,0,138.755325,290000
146,-112.200380,-112.199432,0.050000,100000,0.029305,2000,0,3,1,1,0,138.755325,292000
147,-104.738223,-104.737511,0.050000,100000,0.031593,2000,0,3,1,1,0,138.755325,294000
148,0.898260,0.898158,0.050000,100000,0.029618,2000,0,4,1,1,0,138.755325,296000
149,-83.527751,-83.527588,0.050000,100000,0.031472,2000,0,2,1,1,0,138.755325,298000
150,-81.096098,-81.096031,0.050000,100000,0.032907,2000,0,1,1,1,0,138.755325,300000
151,-126.736777,-126.735458,0.050000,100000,0.029881,2000,0,2,1,1,0,138.755325,302000
152,6.924851,6.924846,0.050000,100000,0.030369,2000,0,3,1,1,0,138.755325,304000
153,-21.393181,-21.393160,0.050000,100000,0.036353,2000,0,0,0,1,0,138.755325,306000
154,4.593458,4.593428,0.050000,100000,0.031394,2000,0,3,1,1,0,138.755325,308000
155,9.654844,9.654836,0.050000,100000,0.028865,2000,0,3,1,1,0,138.755325,310000
156,37.821874,37.821880,0.050000,100000,0.032685,2000,0,3,1,1,0,138.755325,312000
157,-84.767700,-84.767563,0.050000,100000,0.030917,2000,0,4,1,1,0,138.755325,314000
158,-28.799239,-28.799326,0.050000,100000,0.033487,2000,0,1,1,1,0,138.755325,316000
159,-41.024464,-41.024487,0.050000,100000,0.035251,2000,0,3,1,1,0,138.755325,318000
160,-681.725495,-681.734802,0.050000,100000,0.036071,2000,463,1,1,1,0,138.755325,320000
161,-160.919729,-160.919891,0.050000,100000,0.034688,2000,0,1,1,1,0,138.755325,322000
